,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,CP201218C00150000,2020-07-09 15:53:00,150.0,78.5,0.0,0.0,0.0,0.0,0,7,0.0
1,CP201218C00175000,2020-07-09 15:53:00,175.0,57.37,0.0,0.0,0.0,0.0,0,1,0.0
2,CP201218C00185000,2020-07-09 15:53:00,185.0,49.5,0.0,0.0,0.0,0.0,0,8,0.0
3,CP201218C00200000,2020-11-09 10:35:00,200.0,131.0,121.2,126.0,0.0,0.0,5,3,84.57
4,CP201218C00220000,2020-07-09 15:53:00,220.0,58.0,0.0,0.0,0.0,0.0,1,6,0.0
5,CP201218C00230000,2020-11-02 14:21:00,230.0,78.0,91.2,96.0,0.0,0.0,5,59,61.91
6,CP201218C00240000,2020-06-19 13:06:00,240.0,30.84,41.8,46.4,0.0,0.0,1,279,0.0
7,CP201218C00250000,2020-07-22 14:50:00,250.0,35.6,50.6,54.8,0.0,0.0,10,200,0.0
8,CP201218C00260000,2020-10-15 09:42:00,260.0,62.2,64.9,69.5,0.0,0.0,1,142,87.57
9,CP201218C00270000,2020-11-24 11:03:00,270.0,60.0,52.2,56.0,0.0,0.0,1,73,67.75
10,CP201218C00280000,2020-11-13 10:14:00,280.0,53.8,42.3,46.5,0.0,0.0,42,231,60.96
11,CP201218C00290000,2020-11-17 12:44:00,290.0,46.21,32.4,36.2,0.0,0.0,7,101,48.58
12,CP201218C00300000,2020-11-25 12:52:00,300.0,25.95,23.5,24.9,0.0,0.0,1,110,30.31
13,CP201218C00310000,2020-11-30 11:08:00,310.0,16.54,14.8,16.4,0.0,0.0,1,25,28.0
14,CP201218C00320000,2020-12-01 10:16:00,320.0,8.1,7.5,8.9,-0.36,-4.26,14,34,24.56
15,CP201218C00330000,2020-11-30 15:54:00,330.0,3.93,2.95,4.5,0.0,0.0,10,285,25.17
16,CP201218C00340000,2020-11-25 13:56:00,340.0,1.6,0.8,1.8,0.0,0.0,12,36,24.66
17,CP201218C00350000,2020-11-27 09:34:00,350.0,1.19,0.1,0.75,0.0,0.0,1,263,25.81
18,CP201218C00360000,2020-11-23 15:53:00,360.0,0.4,0.0,5.0,0.0,0.0,44,105,57.96
19,CP201218C00370000,2020-11-23 10:11:00,370.0,0.45,0.0,4.8,0.0,0.0,2,4,51.89
